"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
88, 9503.45815499869, 3766.55118492656, 9507.71848426573, 10243.9198010619, 170.062765024129, 588.99974048652, 171.54527944014
89, 9598.63360603827, 3746.07778552686, 9598.63360603827, 10303.730677681, 171.357982355566, 592.380716094417, 171.54527944014
90, 9034.5741045044, 3435.77275459654, 9598.63360603827, 10303.730677681, 152.867638804338, 516.403418101273, 171.54527944014
91, 8258.84982376995, 3101.23067123293, 9598.63360603827, 10303.730677681, 131.171975426865, 429.91909856208, 171.54527944014
92, 8202.72483302279, 3077.42262947995, 9598.63360603827, 10303.730677681, 129.699585752015, 424.049629787603, 171.54527944014
93, 7445.8055630725, 2757.19441084877, 9598.63360603827, 10303.730677681, 111.089705505212, 352.098288522829, 171.54527944014
94, 6996.40947763258, 2576.90732626233, 9598.63360603827, 10303.730677681, 101.285603831221, 312.804888572262, 171.54527944014
95, 393.395179086836, 107.844747896582, 9598.63360603827, 10303.730677681, 25.349262994167, 3.04178733997901, 171.54527944014
96, 3260.78171588002, 1117.97580255517, 9598.63360603827, 10303.730677681, 42.5864244651833, 75.9681532671681, 171.54527944014
97, 1629.12997374405, 532.840588622868, 9598.63360603827, 10303.730677681, 29.4979155332808, 21.2692663423253, 171.54527944014
98, 1918.81244672234, 638.488994419492, 9598.63360603827, 10303.730677681, 31.217670867064, 28.5145054877895, 171.54527944014
99, 1992.95274281713, 660.704611852005, 9598.63360603827, 10303.730677681, 31.8857075317312, 30.1908195257919, 171.54527944014
100, 2157.04984035418, 719.356075372074, 9598.63360603827, 10303.730677681, 31.9614532893603, 33.1350476032132, 171.54527944014
101, 1452.01257747314, 472.760678851131, 9598.63360603827, 10303.730677681, 29.3471475321299, 19.6806722320248, 171.54527944014
102, 1495.91496838795, 491.604059217685, 9598.63360603827, 10303.730677681, 29.7338573845795, 21.2063499377775, 171.54527944014
103, 7241.53114879615, 2670.61871645897, 9598.63360603827, 10303.730677681, 104.985659070093, 327.574931266985, 171.54527944014
104, 7432.20555991357, 2754.40360879892, 9598.63360603827, 10303.730677681, 110.200293778354, 347.723516354424, 171.54527944014
105, 8678.33899374643, 3300.02339174423, 9598.63360603827, 10303.730677681, 143.084393963824, 477.262226201498, 171.54527944014
106, 8802.21038279195, 3424.92819703786, 9598.63360603827, 10303.730677681, 148.29062895063, 500.212299013451, 171.54527944014
107, 9005.98487466493, 3580.27537541474, 9598.63360603827, 10303.730677681, 156.066688443757, 533.770685716783, 171.54527944014
108, 9223.03677064811, 3705.79196487617, 9598.63360603827, 10303.730677681, 163.425679287554, 564.402612007107, 171.54527944014
109, 8673.76562018906, 3486.53604262052, 9598.63360603827, 10303.730677681, 148.095775795681, 503.536825537246, 171.54527944014
110, 9492.45599483706, 3826.13485625227, 9598.63360603827, 10303.730677681, 171.704656411918, 597.589265680754, 171.704656411918
111, 9553.37583066351, 3833.69726151654, 9598.63360603827, 10303.730677681, 172.98063649801, 602.099919419029, 172.98063649801
112, 9649.95782448747, 3811.89860707543, 9649.95782448747, 10375.560563411, 174.042121059852, 604.130442951688, 174.042121059852
113, 9679.32328976936, 3771.42570288853, 9679.32328976936, 10388.1158628637, 173.640595760497, 601.139639494175, 174.042121059852
114, 9079.94444337927, 3455.58467931292, 9679.32328976936, 10388.1158628637, 154.190684257423, 521.772773145811, 174.042121059852
115, 8290.70979093037, 3114.92856771951, 9679.32328976936, 10388.1158628637, 132.031889670217, 433.429651187558, 174.042121059852
116, 8232.08649902413, 3090.02260552338, 9679.32328976936, 10388.1158628637, 130.488048634877, 427.261690513674, 174.042121059852
117, 7370.68630829223, 2723.42765544299, 9679.32328976936, 10388.1158628637, 109.109280237918, 342.357663299023, 174.042121059852
118, 6495.45273858348, 2375.89863183367, 9679.32328976936, 10388.1158628637, 92.6587706594648, 273.808873639946, 174.042121059852
