"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
4118, "Transformer.TR45", 20.371621366755, 27.7794836819387, 179.606055673734, 131.711107494072, 7.19955785679463, 36.5886656136163, 36.588665613466, 36.5886656132473 
4119, "Line.L9", 310, 600, 146.376150529549, 75.6276777736003, 7.19955785679463, 453.766066640034, 453.766066641602, 453.766066639817 
4119, "Transformer.TR45", 20.371621366755, 27.7794836819387, 161.839758476933, 118.682489549751, 7.19955785679463, 32.9693828177916, 32.9693828176702, 32.9693828174917 
4120, "Line.L9", 310, 600, 148.903356074085, 76.9334006382772, 7.19955785679463, 461.600403828194, 461.600403829663, 461.600403827929 
4120, "Transformer.TR45", 20.371621366755, 27.7794836819387, 137.263383310989, 100.659814428059, 7.19955785679463, 27.9627767233124, 27.9627767232253, 27.9627767230966 
4121, "Line.L9", 310, 600, 133.874195683512, 69.1683344364812, 7.19955785679463, 415.010006617538, 415.010006618887, 415.010006616969 
4121, "Transformer.TR45", 20.371621366755, 27.7794836819387, 121.997991750308, 89.4651939502256, 7.19955785679463, 24.8529689544177, 24.852968954349, 24.8529689542479 
4122, "Line.L9", 310, 600, 116.17188038165, 60.022138197186, 7.19955785679463, 360.132829182035, 360.132829183116, 360.132829180987 
4123, "Line.L9", 310, 600, 115.123471779327, 59.4804604193188, 7.19955785679463, 356.882762514945, 356.882762515913, 356.882762513726 
4124, "Line.L9", 310, 600, 106.520884102872, 55.0357901198171, 7.19955785679463, 330.214740718093, 330.214740718903, 330.214740716726 
4125, "Line.L9", 310, 600, 109.235688101265, 56.4384388523201, 7.19955785679463, 338.630633113073, 338.63063311392, 338.630633111715 
4136, "Line.L9", 310, 600, 118.91563033619, 61.4397423403646, 7.19955785679463, 368.638454041084, 368.638454042188, 368.638454039982 
4137, "Line.L9", 310, 600, 117.497551929257, 60.7070684967828, 7.19955785679463, 364.242410979544, 364.242410980697, 364.242410978536 
4138, "Line.L9", 310, 600, 115.886522722945, 59.8747034068547, 7.19955785679463, 359.248220440007, 359.248220441128, 359.248220439165 
4138, "Transformer.TR45", 20.371621366755, 27.7794836819387, 143.092370308989, 104.934404893259, 7.19955785679463, 29.1502358840622, 29.150235883968, 29.1502358838288 
