hour, t(sec), P1 (kW), Q1 (kvar)
113, 0.00000, 9821.99, 3783.64
113, 900.00000, 9143.23, 3483.28
113, 1800.00000, 9090.49, 3460.06
113, 2700.00000, 9082.53, 3456.62
114, 0.00000, 9079.85, 3455.48
114, 900.00000, 8365.98, 3147.26
114, 1800.00000, 8317.75, 3126.57
114, 2700.00000, 8305.73, 3121.46
115, 0.00000, 8290.66, 3115.04
115, 900.00000, 8271.25, 3106.81
115, 1800.00000, 8257.71, 3101.04
115, 2700.00000, 8244.71, 3095.51
116, 0.00000, 8231.92, 3090.06
116, 900.00000, 5570.77, 1990.14
116, 1800.00000, 6869.33, 2513.85
116, 2700.00000, 6565.6, 2398.75
117, 0.00000, 7370.67, 2723.51
117, 900.00000, 1666.28, 552.382
117, 1800.00000, 9131.42, 3469.61
117, 2700.00000, 7461.82, 2758.35
118, 0.00000, 6495.55, 2376.11
118, 900.00000, 6024.46, 2188.1
118, 1800.00000, 328.697, 96.4599
118, 2700.00000, 219.425, 52.7247
119, 0.00000, 398.183, 109.535
119, 900.00000, 1365.83, 443.837
119, 1800.00000, 2041.29, 679.199
119, 2700.00000, 2869.53, 980.338
120, 0.00000, 3079.41, 1050.69
120, 900.00000, 3312.16, 1133.73
120, 1800.00000, 2495.7, 836.346
120, 2700.00000, 2458.76, 826.542
121, 0.00000, 2183.16, 727.094
121, 900.00000, 1423.88, 468.102
121, 1800.00000, 2093.99, 703.703
121, 2700.00000, 1688.59, 562.37
122, 0.00000, 1409.71, 461.574
122, 900.00000, 1558.85, 508.023
122, 1800.00000, 1312.24, 420.09
122, 2700.00000, 1589.22, 517.986
123, 0.00000, 1777.24, 584.46
123, 900.00000, 1875.11, 623.519
123, 1800.00000, 2282.33, 768.21
123, 2700.00000, 2358.77, 796.898
124, 0.00000, 2072.16, 693.855
124, 900.00000, 2124.47, 710.597
124, 1800.00000, 1304.54, 419.868
124, 2700.00000, 1403.95, 453.564
125, 0.00000, 1634.49, 533.687
125, 900.00000, 1544.57, 504.238
125, 1800.00000, 1831.66, 607.216
125, 2700.00000, 2011.9, 670.883
126, 0.00000, 2295.64, 771.489
126, 900.00000, 9644.81, 3699.44
126, 1800.00000, 7352.76, 2715.44
126, 2700.00000, 7176.23, 2641.99
127, 0.00000, 6773.21, 2477.01
127, 900.00000, 7634.76, 2840.38
127, 1800.00000, 7447.97, 2760.95
127, 2700.00000, 7455.33, 2764.22
128, 0.00000, 7436.64, 2756.27
128, 900.00000, 8273.09, 3107.03
128, 1800.00000, 8585.5, 3241.37
128, 2700.00000, 8641.84, 3265.59
129, 0.00000, 8731.51, 3303.91
129, 900.00000, 8766.23, 3319.14
129, 1800.00000, 8813.48, 3339.8
129, 2700.00000, 8848.37, 3354.89
130, 0.00000, 8893.53, 3374.61
130, 900.00000, 8923.74, 3387.97
130, 1800.00000, 8977.24, 3411.33
130, 2700.00000, 9052.63, 3444.28
131, 0.00000, 9140.37, 3482.6
131, 900.00000, 9246.5, 3528.92
131, 1800.00000, 9380.9, 3587.56
131, 2700.00000, 9473.53, 3628.2
132, 0.00000, 9558.21, 3665.24
132, 900.00000, 9006.76, 3422.87
132, 1800.00000, 9031.24, 3433.34
132, 2700.00000, 9060.29, 3445.93
133, 0.00000, 9083.5, 3456.01
133, 900.00000, 9689.08, 3722.67
133, 1800.00000, 9780.81, 3763.55
133, 2700.00000, 9805.21, 3774.47
134, 0.00000, 9847.93, 3793.52
134, 900.00000, 9889.73, 3812.27
134, 1800.00000, 9933.61, 3831.87
134, 2700.00000, 9955.11, 3841.55
135, 0.00000, 9963.04, 3845.23
135, 900.00000, 9957.91, 3843.12
135, 1800.00000, 9945.17, 3837.65
135, 2700.00000, 9918.8, 3826.13
136, 0.00000, 9885.62, 3811.6
136, 900.00000, 9858.47, 3799.66
136, 1800.00000, 9827.93, 3786.27
136, 2700.00000, 9804.88, 3776.16
137, 0.00000, 9789.75, 3769.52
137, 900.00000, 9118.02, 3472.4
137, 1800.00000, 9065.8, 3449.44
137, 2700.00000, 9063.85, 3448.59
138, 0.00000, 9060.94, 3447.34
138, 900.00000, 8356.37, 3143.24
138, 1800.00000, 8306.88, 3122
138, 2700.00000, 8292.2, 3115.76
139, 0.00000, 8277.16, 3109.35
139, 900.00000, 8258.48, 3101.43
139, 1800.00000, 8245.47, 3095.89
139, 2700.00000, 8221.27, 3085.82
140, 0.00000, 8208.48, 3080.37
140, 900.00000, 5608.48, 2004.42
140, 1800.00000, 7022.56, 2580.27
140, 2700.00000, 7206.38, 2658.61
141, 0.00000, 7471.26, 2766.15
141, 900.00000, 1519.98, 504.224
141, 1800.00000, 8821.48, 3338.66
141, 2700.00000, 6947.02, 2549.99
142, 0.00000, 6814, 2501.79
142, 900.00000, 6252.17, 2275.25
142, 1800.00000, 410.125, 123.183
142, 2700.00000, 306.96, 79.4115
143, 0.00000, 393.788, 108.074
143, 900.00000, 1461.71, 477.157
143, 1800.00000, 2115.52, 705.335
143, 2700.00000, 2860.41, 975.816
144, 0.00000, 3092.37, 1056.29
144, 900.00000, 2625.2, 886.928
144, 1800.00000, 2499.84, 838.203
144, 2700.00000, 1883.48, 622.133
145, 0.00000, 1636.16, 539.961
145, 900.00000, 1464.06, 481.359
145, 1800.00000, 1283.03, 419.921
145, 2700.00000, 1337.65, 434.481
146, 0.00000, 1764.93, 579.941
146, 900.00000, 2085.73, 692.766
146, 1800.00000, 1746.22, 572.386
146, 2700.00000, 1047.21, 331.119
147, 0.00000, 1003.86, 317.144
147, 900.00000, 845.12, 266.619
147, 1800.00000, 978.759, 313.224
147, 2700.00000, 1016.06, 326.696
148, 0.00000, 689.828, 210.161
148, 900.00000, 989.314, 312.223
148, 1800.00000, 1388.74, 449.891
148, 2700.00000, 2007.35, 666.378
149, 0.00000, 2209.4, 739.288
149, 900.00000, 2083.76, 692.369
149, 1800.00000, 1585.67, 519.437
149, 2700.00000, 1045.64, 333.899
150, 0.00000, 850.26, 267.633
150, 900.00000, 9608.41, 3680.89
150, 1800.00000, 8238.99, 3083.91
150, 2700.00000, 7511.12, 2779.34
151, 0.00000, 7559.41, 2801.5
151, 900.00000, 991.877, 316.195
151, 1800.00000, 6269.46, 2274.65
151, 2700.00000, 6591.32, 2403.14
152, 0.00000, 6408.49, 2328.63
152, 900.00000, 7479.31, 2773.54
152, 1800.00000, 7537.09, 2797.5
152, 2700.00000, 7537.53, 2797.6
153, 0.00000, 7541.17, 2799.03
153, 900.00000, 7545.51, 2800.79
153, 1800.00000, 7548.65, 2802.03
153, 2700.00000, 7552.12, 2803.42
154, 0.00000, 7556.21, 2805.07
154, 900.00000, 7560.58, 2806.83
154, 1800.00000, 7566.08, 2809.11
154, 2700.00000, 7570.99, 2811.11
155, 0.00000, 7576.92, 2813.54
155, 900.00000, 7581.71, 2815.51
155, 1800.00000, 7588.13, 2818.13
155, 2700.00000, 7593.38, 2820.27
156, 0.00000, 7598.75, 2822.46
156, 900.00000, 7603.02, 2824.19
156, 1800.00000, 7607.32, 2825.94
156, 2700.00000, 7611.69, 2827.72
157, 0.00000, 7616.45, 2829.66
157, 900.00000, 7621.64, 2831.78
157, 1800.00000, 7629.79, 2835.16
157, 2700.00000, 7633.99, 2836.89
158, 0.00000, 7636.37, 2837.86
158, 900.00000, 6477.97, 2352.42
158, 1800.00000, 7462.87, 2763.31
158, 2700.00000, 7452.71, 2759.31
159, 0.00000, 7441.29, 2755.16
159, 900.00000, 351.812, 95.6207
159, 1800.00000, 7855.09, 2925.38
159, 2700.00000, 7437.76, 2752.33
160, 0.00000, 7426.1, 2748.05
160, 900.00000, 7428.52, 2748.43
160, 1800.00000, 304.666, 80.9662
160, 2700.00000, 7536.62, 2789.3
161, 0.00000, 7364.15, 2720.76
161, 900.00000, 7342.16, 2714.49
161, 1800.00000, 7379.18, 2728.37
161, 2700.00000, 300.797, 79.2447
162, 0.00000, 6020.51, 2181.06
162, 900.00000, 5711.5, 2062.79
162, 1800.00000, 5699.56, 2058.12
162, 2700.00000, 5699.54, 2058.12
163, 0.00000, 168.877, 32.8777
163, 900.00000, 169.515, 33.0879
163, 1800.00000, 171.209, 33.6473
163, 2700.00000, 189.614, 39.7325
164, 0.00000, 193.042, 40.8696
164, 900.00000, 189.619, 39.7341
164, 1800.00000, 190.929, 40.1683
164, 2700.00000, 193.821, 41.1278
165, 0.00000, 192.008, 40.5263
165, 900.00000, 192.762, 40.7762
165, 1800.00000, 608.086, 181.449
165, 2700.00000, 732.269, 223.138
166, 0.00000, 752.748, 230.257
166, 900.00000, 855.821, 266.219
166, 1800.00000, 461.94, 132.23
166, 2700.00000, 337.69, 89.7824
167, 0.00000, 369.203, 100.843
167, 900.00000, 298.742, 77.7562
167, 1800.00000, 372.126, 103.092
167, 2700.00000, 359.08, 99.0685
168, 0.00000, 365.586, 100.605
168, 900.00000, 411.879, 115.864
168, 1800.00000, 488.107, 140.746
168, 2700.00000, 517.785, 150.278
169, 0.00000, 592.009, 178.453
169, 900.00000, 630.338, 191.518
